subject,run,layer,modality,data,volume,focus
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,16.10390853881836,4,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,2.8122000694274902,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,5.832875728607178,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,12.548506736755371,5,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,1.4539265632629395,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,2.6536760330200195,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,6.935774326324463,6,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,0.6704899668693542,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,0.7899875044822693,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,2.6501026153564453,7,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,0.3923071622848511,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,0.3941851258277893,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,0.7423349022865295,8,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,0.13848166167736053,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,0.3518241047859192,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,0.2675730586051941,9,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,BOLD,-0.08343864977359772,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,BOLD,0.1614353209733963,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,superficial,BOLD,0.19089139997959137,10,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,deep,VASO,0.10388347506523132,1,v1
sub-05,sub-05_ses-001_task-eventStim_run-002,middle,VASO,-1.6436278820037842,1,v1
