subject,run,layer,modality,data,volume,focus,condition
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,0.5787658095359802,3,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,2.0653021335601807,3,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,2.256456136703491,3,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,1.1391841173171997,4,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,3.1956381797790527,4,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,4.413994312286377,4,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,0.8778679966926575,5,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,3.1939802169799805,5,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,5.020542144775391,5,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,0.43164876103401184,6,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,2.252812385559082,6,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,4.016049385070801,6,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,-0.1720566600561142,7,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,0.7991925477981567,7,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,1.7178280353546143,7,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,-0.6875362992286682,8,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,-0.5869076251983643,8,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,-0.4113583266735077,8,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,-0.7866470217704773,9,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,-1.1332504749298096,9,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,-0.9834011793136597,9,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,BOLD,-0.2782329022884369,10,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,BOLD,-0.538713812828064,10,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,BOLD,-0.2151595652103424,10,v1,visiotactile
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,0.24318552017211914,1,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-0.36320024728775024,1,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-0.21580803394317627,1,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.17692811787128448,2,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-1.4472883939743042,2,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,-0.388322651386261,2,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,deep,VASO,-0.21332594752311707,3,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,middle,VASO,-1.9211262464523315,3,v1,visual
sub-11,sub-11_ses-002_task-eventStimRandom_run-002,superficial,VASO,0.53844153881073,3,v1,visual
