subject,x,data,modality,trial,run,focus
sub-05,21,0.7825404259278288,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,22,1.04319065397694,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,23,0.9251751084434636,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,24,0.7274404526820601,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,25,0.4527221463574408,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,26,0.19246269826041865,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,27,0.8106765824788549,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,28,2.993964174848242,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,29,3.9720863949485907,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,30,1.5527677115122294,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,31,-1.034195571374011,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,32,-0.4441178437065979,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,33,0.7079014550771829,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,34,-0.5003901568086493,BOLD,trial 1,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,0,-2.357767269128618,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,1,-3.3288554500911833,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,2,-1.6656959739637596,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,3,-0.0920251068666422,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,4,-1.1248565202606566,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,5,-2.334320472002769,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,6,-1.0689749871106842,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,7,0.5132930389325594,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,8,-0.03692513362088367,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,9,-0.22254561086724597,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,10,2.2061517914194484,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,11,3.922848120984299,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,12,1.8782874116095474,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,13,-0.6668624164022438,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,14,-0.2155115717294964,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,15,0.7794141863110429,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
sub-05,16,-0.2217640509630383,BOLD,trial 2,sub-05_ses-001_task-blockStim_run-001,s1
