subject,data,modality,layer,stimType,contrast,focus,runType
sub-06,2.5010907164473526,VASO,5,blockStim,visiotactile,s1,blockStim
sub-06,2.9503042542168663,VASO,6,blockStim,visiotactile,s1,blockStim
sub-06,3.2462069770132285,VASO,7,blockStim,visiotactile,s1,blockStim
sub-06,3.5762988298367233,VASO,8,blockStim,visiotactile,s1,blockStim
sub-06,3.3041689812372894,VASO,9,blockStim,visiotactile,s1,blockStim
sub-06,2.1764649950030646,VASO,10,blockStim,visiotactile,s1,blockStim
sub-06,1.3471765128865105,VASO,11,blockStim,visiotactile,s1,blockStim
sub-07,2.6361949363680464,BOLD,1,blockStim,visiotactile,v1,blockStim
sub-07,2.846600618522464,BOLD,2,blockStim,visiotactile,v1,blockStim
sub-07,3.6486112959233026,BOLD,3,blockStim,visiotactile,v1,blockStim
sub-07,5.2249757763477565,BOLD,4,blockStim,visiotactile,v1,blockStim
sub-07,7.782899603374207,BOLD,5,blockStim,visiotactile,v1,blockStim
sub-07,10.203567037703989,BOLD,6,blockStim,visiotactile,v1,blockStim
sub-07,11.30296058833767,BOLD,7,blockStim,visiotactile,v1,blockStim
sub-07,11.561305993764671,BOLD,8,blockStim,visiotactile,v1,blockStim
sub-07,10.64432672757191,BOLD,9,blockStim,visiotactile,v1,blockStim
sub-07,8.952996866837841,BOLD,10,blockStim,visiotactile,v1,blockStim
sub-07,8.538099480071857,BOLD,11,blockStim,visiotactile,v1,blockStim
sub-07,2.1934187502487967,VASO,1,blockStim,visiotactile,v1,blockStim
sub-07,2.295574465427483,VASO,2,blockStim,visiotactile,v1,blockStim
sub-07,2.5211899521072274,VASO,3,blockStim,visiotactile,v1,blockStim
sub-07,3.176767204011094,VASO,4,blockStim,visiotactile,v1,blockStim
sub-07,4.193121860061701,VASO,5,blockStim,visiotactile,v1,blockStim
sub-07,5.131124413217687,VASO,6,blockStim,visiotactile,v1,blockStim
sub-07,5.481558394219194,VASO,7,blockStim,visiotactile,v1,blockStim
sub-07,5.418373044056953,VASO,8,blockStim,visiotactile,v1,blockStim
sub-07,4.8031429762907,VASO,9,blockStim,visiotactile,v1,blockStim
sub-07,4.0637027201347715,VASO,10,blockStim,visiotactile,v1,blockStim
sub-07,3.5040231016614745,VASO,11,blockStim,visiotactile,v1,blockStim
sub-07,1.4325949512422085,BOLD,1,blockStim,visiotactile,s1,blockStim
sub-07,2.7048089032349014,BOLD,2,blockStim,visiotactile,s1,blockStim
sub-07,5.201873410993548,BOLD,3,blockStim,visiotactile,s1,blockStim
sub-07,8.6194140513738,BOLD,4,blockStim,visiotactile,s1,blockStim
sub-07,11.791045514020054,BOLD,5,blockStim,visiotactile,s1,blockStim
sub-07,14.671265265520882,BOLD,6,blockStim,visiotactile,s1,blockStim
sub-07,16.538953879300287,BOLD,7,blockStim,visiotactile,s1,blockStim
sub-07,17.101765288247,BOLD,8,blockStim,visiotactile,s1,blockStim
sub-07,16.303030366897584,BOLD,9,blockStim,visiotactile,s1,blockStim
sub-07,13.735789756442225,BOLD,10,blockStim,visiotactile,s1,blockStim
sub-07,11.940168770979035,BOLD,11,blockStim,visiotactile,s1,blockStim
sub-07,2.276138312369585,VASO,1,blockStim,visiotactile,s1,blockStim
sub-07,3.011321230846293,VASO,2,blockStim,visiotactile,s1,blockStim
sub-07,3.7811105749500333,VASO,3,blockStim,visiotactile,s1,blockStim
sub-07,4.147882775826887,VASO,4,blockStim,visiotactile,s1,blockStim
sub-07,4.2080157995224,VASO,5,blockStim,visiotactile,s1,blockStim
sub-07,3.8579346397343803,VASO,6,blockStim,visiotactile,s1,blockStim
sub-07,3.4623452843550373,VASO,7,blockStim,visiotactile,s1,blockStim
sub-07,2.8177025601681738,VASO,8,blockStim,visiotactile,s1,blockStim
sub-07,2.1187296984468897,VASO,9,blockStim,visiotactile,s1,blockStim
sub-07,1.1532713962166548,VASO,10,blockStim,visiotactile,s1,blockStim
sub-07,0.40835505407655015,VASO,11,blockStim,visiotactile,s1,blockStim
sub-08,7.283100500702858,BOLD,1,blockStim,visiotactile,v1,blockStim
sub-08,9.829282641410828,BOLD,2,blockStim,visiotactile,v1,blockStim
sub-08,13.209455712810977,BOLD,3,blockStim,visiotactile,v1,blockStim
sub-08,15.756025933671271,BOLD,4,blockStim,visiotactile,v1,blockStim
sub-08,17.69116449937588,BOLD,5,blockStim,visiotactile,v1,blockStim
sub-08,19.016630123507593,BOLD,6,blockStim,visiotactile,v1,blockStim
sub-08,19.952986827512987,BOLD,7,blockStim,visiotactile,v1,blockStim
sub-08,20.095221782076187,BOLD,8,blockStim,visiotactile,v1,blockStim
sub-08,20.56366757785573,BOLD,9,blockStim,visiotactile,v1,blockStim
sub-08,20.629802963312933,BOLD,10,blockStim,visiotactile,v1,blockStim
sub-08,20.297156875197953,BOLD,11,blockStim,visiotactile,v1,blockStim
sub-08,3.350667728853405,VASO,1,blockStim,visiotactile,v1,blockStim
sub-08,3.920678630259365,VASO,2,blockStim,visiotactile,v1,blockStim
sub-08,4.861482288156237,VASO,3,blockStim,visiotactile,v1,blockStim
sub-08,5.532142492546432,VASO,4,blockStim,visiotactile,v1,blockStim
sub-08,5.923904567230038,VASO,5,blockStim,visiotactile,v1,blockStim
sub-08,5.958699269448557,VASO,6,blockStim,visiotactile,v1,blockStim
sub-08,5.638768403505792,VASO,7,blockStim,visiotactile,v1,blockStim
sub-08,4.748524915821769,VASO,8,blockStim,visiotactile,v1,blockStim
sub-08,3.3752235104055965,VASO,9,blockStim,visiotactile,v1,blockStim
sub-08,1.7877731662901009,VASO,10,blockStim,visiotactile,v1,blockStim
sub-08,0.47176203393452876,VASO,11,blockStim,visiotactile,v1,blockStim
sub-08,1.8174848654866218,BOLD,1,blockStim,visiotactile,s1,blockStim
sub-08,2.4359036660490845,BOLD,2,blockStim,visiotactile,s1,blockStim
sub-08,3.71750653726714,BOLD,3,blockStim,visiotactile,s1,blockStim
sub-08,4.073262388291567,BOLD,4,blockStim,visiotactile,s1,blockStim
sub-08,4.2546652891697025,BOLD,5,blockStim,visiotactile,s1,blockStim
sub-08,4.130514175631106,BOLD,6,blockStim,visiotactile,s1,blockStim
sub-08,4.590396539585011,BOLD,7,blockStim,visiotactile,s1,blockStim
sub-08,5.375754960825746,BOLD,8,blockStim,visiotactile,s1,blockStim
sub-08,6.193664517201168,BOLD,9,blockStim,visiotactile,s1,blockStim
sub-08,6.425633569021483,BOLD,10,blockStim,visiotactile,s1,blockStim
sub-08,6.047273682223426,BOLD,11,blockStim,visiotactile,s1,blockStim
sub-08,1.166131853046827,VASO,1,blockStim,visiotactile,s1,blockStim
sub-08,1.4728161831399504,VASO,2,blockStim,visiotactile,s1,blockStim
sub-08,1.7260212868452072,VASO,3,blockStim,visiotactile,s1,blockStim
sub-08,1.6280649146739987,VASO,4,blockStim,visiotactile,s1,blockStim
sub-08,1.954306168624988,VASO,5,blockStim,visiotactile,s1,blockStim
sub-08,2.6514138813799946,VASO,6,blockStim,visiotactile,s1,blockStim
sub-08,3.2665793992377616,VASO,7,blockStim,visiotactile,s1,blockStim
sub-08,3.3865098600656216,VASO,8,blockStim,visiotactile,s1,blockStim
sub-08,2.7259256035928994,VASO,9,blockStim,visiotactile,s1,blockStim
sub-08,1.4823338793137588,VASO,10,blockStim,visiotactile,s1,blockStim
sub-08,0.34686082504965643,VASO,11,blockStim,visiotactile,s1,blockStim
sub-09,3.7329759312764046,BOLD,1,blockStimLongTR,visiotactile,v1,blockStim
sub-09,4.653990831162611,BOLD,2,blockStimLongTR,visiotactile,v1,blockStim
sub-09,5.674377101348013,BOLD,3,blockStimLongTR,visiotactile,v1,blockStim
sub-09,6.922038339556388,BOLD,4,blockStimLongTR,visiotactile,v1,blockStim
sub-09,8.407744184718467,BOLD,5,blockStimLongTR,visiotactile,v1,blockStim
sub-09,9.538565386612262,BOLD,6,blockStimLongTR,visiotactile,v1,blockStim
sub-09,10.699786881844584,BOLD,7,blockStimLongTR,visiotactile,v1,blockStim
sub-09,11.209009329428275,BOLD,8,blockStimLongTR,visiotactile,v1,blockStim
sub-09,10.670266945253719,BOLD,9,blockStimLongTR,visiotactile,v1,blockStim
sub-09,10.68208791042896,BOLD,10,blockStimLongTR,visiotactile,v1,blockStim
sub-09,8.407117633209113,BOLD,11,blockStimLongTR,visiotactile,v1,blockStim
sub-09,0.7490911629573299,VASO,1,blockStimLongTR,visiotactile,v1,blockStim
sub-09,1.2774669307613962,VASO,2,blockStimLongTR,visiotactile,v1,blockStim
sub-09,1.8880398705625843,VASO,3,blockStimLongTR,visiotactile,v1,blockStim
sub-09,2.6326605091539195,VASO,4,blockStimLongTR,visiotactile,v1,blockStim
sub-09,3.2599537420464912,VASO,5,blockStimLongTR,visiotactile,v1,blockStim
sub-09,3.6364755258273287,VASO,6,blockStimLongTR,visiotactile,v1,blockStim
sub-09,3.8538549361575365,VASO,7,blockStimLongTR,visiotactile,v1,blockStim
sub-09,3.73704013466835,VASO,8,blockStimLongTR,visiotactile,v1,blockStim
sub-09,3.2719562835991383,VASO,9,blockStimLongTR,visiotactile,v1,blockStim
sub-09,2.6476898228234433,VASO,10,blockStimLongTR,visiotactile,v1,blockStim
sub-09,1.7932944207662536,VASO,11,blockStimLongTR,visiotactile,v1,blockStim
sub-09,3.0145360398840495,BOLD,1,blockStim,visiotactile,v1,blockStim
sub-09,3.544573409990831,BOLD,2,blockStim,visiotactile,v1,blockStim
sub-09,4.177352694371808,BOLD,3,blockStim,visiotactile,v1,blockStim
sub-09,4.801651948426833,BOLD,4,blockStim,visiotactile,v1,blockStim
sub-09,5.657951062843495,BOLD,5,blockStim,visiotactile,v1,blockStim
sub-09,5.980450386699305,BOLD,6,blockStim,visiotactile,v1,blockStim
sub-09,7.037992369160693,BOLD,7,blockStim,visiotactile,v1,blockStim
sub-09,7.436203192257219,BOLD,8,blockStim,visiotactile,v1,blockStim
sub-09,7.249936784262007,BOLD,9,blockStim,visiotactile,v1,blockStim
sub-09,7.887737756396862,BOLD,10,blockStim,visiotactile,v1,blockStim
sub-09,6.766467149232558,BOLD,11,blockStim,visiotactile,v1,blockStim
sub-09,0.8234295937714349,VASO,1,blockStim,visiotactile,v1,blockStim
sub-09,1.3420527346437137,VASO,2,blockStim,visiotactile,v1,blockStim
sub-09,1.8026293275732521,VASO,3,blockStim,visiotactile,v1,blockStim
sub-09,2.2142217373264566,VASO,4,blockStim,visiotactile,v1,blockStim
sub-09,2.4409472233091947,VASO,5,blockStim,visiotactile,v1,blockStim
sub-09,2.4179930481364122,VASO,6,blockStim,visiotactile,v1,blockStim
sub-09,2.433353323051626,VASO,7,blockStim,visiotactile,v1,blockStim
sub-09,2.2701374054617354,VASO,8,blockStim,visiotactile,v1,blockStim
sub-09,1.9103462041609667,VASO,9,blockStim,visiotactile,v1,blockStim
sub-09,1.8152685913633793,VASO,10,blockStim,visiotactile,v1,blockStim
